职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
大数据开发工程师,江苏谷科软件有限公司,民营公司,1-2万/月,成都-青羊区,4,2021-10-26 08:15:15,五险一金 专业培训 员工旅游,2年经验,本科,计算机软件
大数据开发工程师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,4,2021-10-26 04:01:52,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,2年经验,硕士,电子技术/半导体/集成电路
后端研发工程师（大数据开发）,成都天奥集团有限公司,国企,15-30万/年,成都-高新区,3,2021-10-26 13:32:02,五险一金 交通补贴 餐饮补贴 通讯补贴 定期体检,1年经验,本科,计算机服务(系统、数据服务、维修)
大数据开发工程师,海南太美航空股份有限公司,民营公司,1.3-1.6万/月,成都,4,2021-10-26 13:20:14,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 弹性工作 定期体检,2年经验,大专,航天/航空
大数据开发工程师,深圳市赢胜数据科技有限公司,民营公司,1-1.5万/月,成都-高新区,5,2021-10-26 11:03:43,,3-4年经验,本科,计算机软件
大数据开发工程师,中国太平洋保险（集团）股份有限公司,国企,2-3万/月,成都-高新区,5,2021-10-26 11:00:01,补充公积金 补充医疗保险 五险一金 餐饮补贴,3-4年经验,本科,保险
软件开发工程师(大数据方向),成都大公博创信息技术有限公司,民营公司,1.2-2万/月,成都,5,2021-10-26 10:37:25,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金,3-4年经验,本科,通信/电信/网络设备
大数据开发工程师,成都丽维家科技有限公司,创业公司,1-1.5万/月,成都-武侯区,5,2021-10-26 10:34:25,绩效奖金 五险一金 节日福利 专业培训 年终奖金 周末双休,3-4年经验,大专,互联网/电子商务
大数据开发工程师,成都分期学科技有限公司,民营公司,4.5-6千/月,成都-高新区,10,2021-10-26 10:27:57,,无需经验,招1人,计算机软件
大数据开发工程师,上海海万信息科技股份有限公司,民营公司,1.5-2万/月,成都-武侯区,5,2021-10-26 10:21:58,五险一金 员工旅游 年终奖金 定期体检 绩效奖金 生日礼金 结婚礼金 过节费,3-4年经验,本科,计算机软件
大数据开发工程师,重庆衡泽软件科技有限公司,民营公司,10-20万/年,成都-青羊区,3,2021-10-26 10:19:24,五险一金 餐饮补贴 通讯补贴 年终奖金 绩效奖金 定期体检,1年经验,大专,计算机软件
大数据开发工程师,成都铭逸科技有限公司,民营公司,6-8千/月,成都-武侯区,3,2021-10-26 10:05:30,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 定期体检 年终奖金 出国机会,1年经验,大专,通信/电信/网络设备
大数据开发工程师,成都甲乙方程科技有限公司,民营公司,0.9-1.1万/月,成都-武侯区,4,2021-10-26 09:44:05,五险一金 绩效奖金 年终奖金 岗位长期稳定 多元化收入 工作氛围良好 办公环境舒适 股票期权,2年经验,本科,计算机软件
大数据开发工程师,成都华泰燃气设备有限公司,民营公司,1-1.5万/月,成都-高新区,6,2021-10-26 09:27:44,周末双休 全勤奖 节日福利 五险 年终奖金 通讯补贴 交通补贴 餐饮补贴,5-7年经验,本科,机械/设备/重工
大数据开发工程师(J10228),四川天翼网络服务有限公司,民营公司,1-2万/月,成都-高新区,5,2021-10-26 09:22:00,带薪年假 五险一金 节日福利 餐饮补贴 绩效奖金 提成,3-4年经验,本科,通信/电信运营、增值服务
大数据开发工程师,成都民航空管科技发展有限公司,国企,15-25万/年,成都-武侯区,10,2021-10-26 09:19:00,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,无需经验,本科,计算机软件
大数据处理/开发工程师,大连亿达信息技术有限公司深圳分公司,民营公司,0.8-1.2万/月,绵阳,4,2021-10-26 09:17:57,五险一金 公积金 员工旅游 定期体检,2年经验,大专,计算机软件
大数据开发工程师,成都海德在线教育科技有限公司,民营公司,1.3-2万/月,成都-锦江区,6,2021-10-26 09:15:02,,5-7年经验,本科,教育/培训/院校
大数据开发工程师 BI Programmer,成都育碧电脑软件有限公司,外资（欧美）,1.1-2万/月,成都,5,2021-10-26 09:12:26,五险一金 绩效奖金 专业培训 补充医疗保险 定期体检,3-4年经验,本科,计算机软件
大数据开发工程师,杭州东信北邮信息技术有限公司,国企,0.8-1.2万/月,成都-武侯区,5,2021-10-26 09:06:21,五险一金 弹性工作 补充医疗保险,3-4年经验,本科,通信/电信运营、增值服务
大数据开发工程师,亚信科技CMC,合资,1.1-1.5万/月,成都-高新区,4,2021-10-26 07:00:31,五险一金 补充医疗保险 通讯补贴 专业培训 年终奖金 定期体检 绩效奖金,2年经验,本科,计算机软件
大数据开发工程师,电信事业部,外资（欧美）,1.5-2.5万/月,成都-高新区,5,2021-10-26 07:00:27,五险一金 补充医疗保险 通讯补贴 绩效奖金 年终奖金 定期体检 弹性工作,3-4年经验,本科,通信/电信运营、增值服务
java 大数据开发工程师,重庆新钶电子有限公司,外资（非欧美）,0.7-1.1万/月,成都-锦江区,4,2021-10-25 17:55:46,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 出国机会 专业培训 周末双休 年度调薪,2年经验,大专,计算机软件
大数据开发工程师,CI&T,外资（非欧美）,1-2万/月,成都-武侯区,5,2021-10-25 16:06:27,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 定期体检 弹性工作 出国机会 超长年休假,3-4年经验,本科,计算机软件
高级大数据开发工程师,成都我行我数科技有限公司,合资,1.5-2.5万/月,成都,6,2021-10-25 15:05:05,五险一金 餐饮补贴 年终奖金 定期体检 员工旅游,5-7年经验,本科,计算机服务(系统、数据服务、维修)
大数据开发工程师,深圳市都市交通规划设计研究院有限公司,民营公司,1.2-1.5万/月,成都-高新区,5,2021-10-25 14:43:53,五险一金 补充医疗保险 补充公积金 专业培训 绩效奖金 年终奖金 周末双休 定期体检 弹性工作,3-4年经验,本科,多元化业务集团公司
大数据开发工程师,四川普思科创信息技术有限公司,民营公司,1-1.5万/月,成都-高新区,5,2021-10-25 14:29:40,五险一金 弹性工作 定期体检,3-4年经验,本科,计算机软件
大数据开发工程师,北京中创信测科技股份有限公司,民营公司,0.8-1.4万/月,成都-高新区,3,2021-10-25 13:39:18,五险一金 周末双休 节日福利 补充医疗保险 餐饮补贴 定期体检,1年经验,本科,通信/电信运营、增值服务
大数据开发工程师,成都卡莱博尔信息技术股份有限公司,民营公司,15-25万/年,成都-高新区,5,2021-10-25 13:33:36,,3-4年经验,本科,计算机软件
大数据开发工程师,成都聚思力信息技术有限公司,外资（欧美）,1.5-2万/月,成都,6,2021-10-25 11:02:37,周末双休 带薪年假 五险一金,5-7年经验,本科,计算机软件
Java大数据开发工程师G00325,迈克生物股份有限公司,上市公司,0.9-1.5万/月,成都-高新区,3,2021-10-25 10:07:26,五险一金 餐饮补贴 专业培训 年终奖金 定期体检 免费班车 补充医疗保险,1年经验,本科,医疗设备/器械
大数据开发工程师,成都国铁电气设备有限公司,民营公司,1.2-2.2万/月,成都-双流区,5,2021-10-25 09:59:28,五险一金 年终奖金 绩效奖金 定期体检 节日福利 专业培训 带薪假 全勤奖 年度旅游 专项奖金,3-4年经验,硕士,电子技术/半导体/集成电路
大数据开发工程师,四川明亚智行信息科技有限公司,民营公司,1.2-1.6万/月,成都-武侯区,5,2021-10-25 09:51:58,带薪年假 周末双休 岗位晋升 五险一金 补充公积金 补充医疗保险 餐饮补贴 交通补贴 绩效奖金,3-4年经验,本科,计算机软件
大数据开发工程师（成都）,北京宇信科技集团股份有限公司广州分公司,上市公司,1-1.5万/月,成都-青羊区,5,2021-10-25 09:39:17,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 定期体检 绩效奖金 股票期权 项目奖金,3-4年经验,本科,计算机软件
大数据开发工程师,中国软件与技术服务股份有限公司,上市公司,0.8-1.5万/月,成都-高新区,4,2021-10-25 09:27:39,,2年经验,本科,计算机软件
大数据ETL开发工程师,北明软件有限公司,上市公司,1-2万/月,成都-武侯区,6,2021-10-25 09:00:01,五险一金 补充医疗保险 补充公积金 餐饮补贴 定期体检 年终奖金,5-7年经验,本科,计算机软件
