职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
成都研发-高级/专家算法工程师,美团,上市公司,,成都-武侯区,6,2021-10-26 19:28:55,,5-7年经验,招1人,互联网/电子商务
算法工程师,成都九华圆通科技发展有限公司,民营公司,20-35万/年,成都-郫都区,6,2021-10-26 11:55:14,五险一金 免费班车 员工旅游 年终奖金 绩效奖金,5-7年经验,本科,通信/电信/网络设备
视觉算法工程师,成都中嘉微视科技有限公司,合资,1.5-3万/月,成都-郫都区,4,2021-10-26 10:30:38,五险一金 定期体检 定期团建 年终奖金,2年经验,本科,电子技术/半导体/集成电路
算法工程师-成都、绵阳,四川九洲防控科技有限责任公司,国企,12-24万/年,成都-高新区,3,2021-10-26 14:32:06,五险两金 交通补贴 餐饮补贴 绩效奖金 定期体检 带薪年假 生日福利,1年经验,硕士,电子技术/半导体/集成电路
AI算法工程师,智信历和（成都）企业管理咨询有限责任公司,民营公司,1.5-2万/月,成都-金牛区,5,2021-10-26 10:25:12,五险一金 周末双休 节日福利 绩效奖金 零食水果咖啡 定期团建 专业培训,3-4年经验,本科,互联网/电子商务
算法工程师,天津大学四川创新研究院,事业单位,1.5-2.5万/月,成都-双流区,3,2021-10-26 04:01:52,五险一金 员工旅游 专业培训 年终奖金 定期体检,1年经验,硕士,电子技术/半导体/集成电路
制导算法工程师,成都纵横自动化技术股份有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-26 04:01:52,五险一金 年终奖金 定期体检 餐饮补贴 通讯补贴 专业培训 交通补贴,3-4年经验,硕士,仪器仪表/工业自动化
图像算法工程师,四川中科友成科技有限公司,民营公司,0.8-1.5万/月,成都-郫都区,5,2021-10-26 04:01:52,五险一金 餐饮补贴 绩效奖金 年终奖金,3-4年经验,本科,电子技术/半导体/集成电路
个性化推荐算法资深工程师/专家--4117,爱奇艺（www.iqiyi.com）,合资,3-5万/月,成都-高新区,10,2021-10-26 23:50:23,,无需经验,招1人,互联网/电子商务
算法工程师（上海）,上海霍塔浩福自动化测试技术有限公司,外资（欧美）,1.5-3万/月,上海,5,2021-10-26 18:18:41,五险一金 免费班车,3-4年经验,本科,汽车
图像算法工程师,研祥高科技控股集团有限公司,上市公司,1.1-2万/月,成都-高新区,5,2021-10-26 17:59:55,五险一金 绩效奖金 员工旅游 周末双休 开车补贴 包三餐 包住宿 无息车房补贴,3-4年经验,本科,计算机硬件
FPGA算法软件工程师,国蓉科技有限公司,上市公司,1-2万/月,成都-郫都区,3,2021-10-26 17:50:36,五险一金 免费班车 交通补贴 餐饮补贴 通讯补贴 专业培训 定期体检,1年经验,本科,电子技术/半导体/集成电路
中高级算法工程师,深圳鲲鹏科教有限公司,民营公司,1.5-2万/月,成都-武侯区,5,2021-10-26 17:47:13,五险一金 交通补贴 餐饮补贴,3-4年经验,硕士,互联网/电子商务
协议栈算法工程师,成都爱瑞无线科技有限公司,民营公司,1.5-3万/月,成都-高新区,4,2021-10-26 17:45:36,,2年经验,本科,通信/电信/网络设备
3D算法工程师,盎锐（上海）信息科技有限公司,外资（非欧美）,1.5-2万/月,成都-高新区,5,2021-10-26 17:36:02,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
算法工程师,成都康赛信息技术有限公司,民营公司,0.8-1.5万/月,成都,3,2021-10-26 17:32:33,五险一金 员工旅游 绩效奖金 年终奖金,1年经验,本科,计算机软件
PHM算法研发工程师,北京航天测控技术有限公司,国企,20-28万/年,成都-成华区,4,2021-10-26 17:32:30,五险一金 全额基数 公积金12 带薪年假 试用期全额 定期体检 节日福利 加班少,2年经验,硕士,仪器仪表/工业自动化
算法工程师-面部捕捉,成都数字天空科技有限公司,民营公司,1.5-2.5万/月,成都,4,2021-10-26 16:29:52,五险一金 补充医疗保险 定期体检 专业培训 试用期全薪,2年经验,硕士,网络游戏
视觉算法工程师——后端（成都）,上海华讯网络系统有限公司,国企,1-1.8万/月,成都-锦江区,4,2021-10-26 16:22:26,五险一金 补充医疗保险 补充公积金 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,2年经验,本科,计算机服务(系统、数据服务、维修)
通信算法工程师,上海久航电子有限公司,民营公司,0.8-1.6万/月,成都-青羊区,3,2021-10-26 16:18:59,补充医疗保险 补充公积金 专业培训 绩效奖金 餐饮补贴 年终奖金 定期体检,1年经验,本科,电子技术/半导体/集成电路
无线通信算法工程师,成都盟升电子技术股份有限公司,上市公司,1.5-2.5万/月,成都,5,2021-10-26 16:03:31,五险一金 年终奖金 绩效奖金 定期体检 餐饮补贴 过节红包,3-4年经验,本科,电子技术/半导体/集成电路
算法工程师,重庆德创驰电子技术研究院有限公司,民营公司,1-2万/月,成都-郫都区,4,2021-10-26 15:54:48,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 年休假,2年经验,本科,学术/科研
图像算法工程师（Sensor）,四川索成易半导体科技有限公司,民营公司,1.2-2.4万/月,成都-高新区,4,2021-10-26 15:47:31,五险一金 补充公积金 交通补贴 餐饮补贴 年终奖金 定期体检 出国机会 专业培训 补充医疗保险,2年经验,本科,电子技术/半导体/集成电路
