age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
43,4,2,2,0,1304,0,0,0,6,1,501,2,-1,0,3,1
52,0,1,1,0,2347,0,1,0,12,1,603,3,-1,0,3,0
28,4,2,2,0,882,0,1,0,29,4,94,1,205,2,0,0
42,10,1,1,0,8131,1,0,2,30,8,69,1,-1,0,3,0
46,1,1,0,0,2558,1,0,1,20,9,107,1,167,1,1,0
43,10,1,1,0,3529,0,0,0,5,3,169,2,-1,0,3,0
53,5,0,1,1,-200,0,1,2,6,6,161,1,-1,0,3,0
32,9,1,1,0,167,1,1,0,8,1,79,3,-1,0,3,0
32,1,2,1,0,1143,1,1,0,10,5,412,1,-1,0,3,0
55,2,1,0,0,298,1,0,2,8,8,144,3,-1,0,3,0
58,5,1,0,0,0,0,0,0,4,1,506,1,-1,0,3,0
36,0,0,1,0,356,1,0,0,7,0,244,3,313,1,0,0
61,3,1,0,0,848,0,0,0,27,0,605,1,187,1,1,0
43,1,0,0,0,-97,1,1,0,31,5,747,4,-1,0,3,0
36,4,0,2,0,1057,0,0,0,5,3,383,2,-1,0,3,0
32,9,2,1,0,0,0,0,0,21,1,126,2,-1,0,3,0
55,4,0,2,0,-612,0,0,0,26,1,131,2,-1,0,3,0
57,3,1,0,0,0,0,0,2,9,6,257,2,-1,0,3,0
45,1,0,0,0,844,0,0,2,5,6,1018,3,-1,0,3,1
53,1,2,3,0,0,0,0,2,12,8,140,7,-1,0,3,0
48,9,1,1,0,454,1,0,0,10,5,114,1,-1,0,3,0
33,9,2,1,0,716,1,0,0,14,8,234,2,-1,0,3,0
27,3,1,1,0,4848,1,1,1,23,5,82,3,-1,0,3,0
26,10,2,1,0,622,0,0,0,28,4,1451,2,-1,0,3,1
57,0,0,3,0,887,0,0,2,20,6,43,8,-1,0,3,0
60,0,1,3,0,1088,1,0,0,26,8,149,1,-1,0,3,0
31,4,1,2,0,1750,1,0,1,14,8,90,3,-1,0,3,0
31,7,1,1,0,1062,1,1,0,6,0,230,1,-1,0,3,0
55,6,1,1,0,203,1,0,1,14,8,9,5,174,12,1,0
39,0,0,1,0,2903,1,1,1,25,5,259,2,-1,0,3,0
29,1,2,1,0,770,1,0,0,17,0,341,1,-1,0,3,0
38,1,1,1,0,361,1,0,2,11,6,601,1,-1,0,3,0
44,1,1,0,0,420,1,0,2,7,8,110,2,-1,0,3,0
57,5,1,1,0,374,1,1,0,16,5,236,1,-1,0,3,0
43,1,1,1,0,-179,1,0,0,30,5,335,6,-1,0,3,0
59,10,0,1,0,2921,0,0,1,3,3,251,1,-1,0,3,0
44,1,1,1,0,1910,1,0,2,5,6,41,1,-1,0,3,0
61,4,1,1,0,985,0,0,0,18,1,998,6,-1,0,3,1
36,4,1,2,0,495,0,0,0,5,1,157,3,97,2,2,1
42,1,0,1,0,1491,1,0,0,6,8,203,2,334,2,0,0
37,9,1,1,0,2707,1,0,1,16,5,109,1,-1,0,3,0
24,9,1,1,0,556,1,0,0,18,1,460,2,-1,0,3,1
58,5,1,1,0,35,0,0,0,29,5,336,7,-1,0,3,0
36,4,2,2,0,-679,1,1,0,7,8,172,1,93,1,0,0
60,5,0,1,0,598,0,1,0,8,5,96,1,-1,0,3,0
31,4,1,2,0,271,0,0,0,18,9,89,1,-1,0,3,0
47,4,1,2,0,295,1,0,0,5,1,157,1,-1,0,3,0
34,9,1,1,0,0,1,0,0,29,1,116,4,-1,0,3,0
36,4,2,2,0,3343,0,0,0,18,9,307,1,-1,0,3,0
33,9,1,1,0,-163,1,1,0,8,1,502,2,-1,0,3,0
35,9,1,1,0,1067,0,1,0,12,1,179,6,-1,0,3,0
41,10,0,1,0,1281,0,0,0,31,5,45,3,-1,0,3,0
42,7,1,1,0,96,1,0,0,5,8,238,3,340,2,0,0
56,4,1,0,0,772,1,0,1,20,9,291,1,-1,0,3,0
27,9,2,1,0,769,1,0,2,9,8,317,2,-1,0,3,0
31,1,2,0,0,-502,1,0,2,29,8,76,4,-1,0,3,0
45,1,1,0,0,0,0,0,0,26,1,454,2,-1,0,3,0
41,2,1,0,0,39,1,0,0,21,9,549,2,-1,0,3,1
29,7,2,1,0,-287,1,0,0,18,8,196,1,-1,0,3,0
80,4,1,0,0,6483,0,0,1,19,10,123,1,-1,0,3,0
29,7,0,1,0,92,1,0,0,7,8,240,1,-1,0,3,0
47,1,1,1,0,1996,0,0,2,5,6,761,2,-1,0,3,1
50,10,1,1,0,3357,0,0,0,9,6,239,4,-1,0,3,1
35,1,1,1,0,6411,1,1,0,30,4,144,1,266,2,0,0
44,4,1,1,0,-1746,1,0,2,20,6,218,1,-1,0,3,0
28,8,2,1,0,28,0,0,0,29,4,220,2,-1,0,3,0
33,1,1,1,0,467,1,0,2,21,8,494,2,-1,0,3,0
35,4,2,2,0,633,1,0,0,17,0,128,3,-1,0,3,0
35,4,2,1,0,81,1,0,0,29,4,79,1,-1,0,3,0
26,0,2,1,0,3529,0,1,0,7,11,57,2,-1,0,3,0
37,9,1,1,0,1063,1,0,0,31,5,413,2,-1,0,3,0
34,9,1,1,0,-228,1,0,0,20,0,187,3,332,3,1,0
51,3,0,1,0,9228,0,0,0,18,5,655,4,-1,0,3,1
49,9,0,2,0,0,1,0,0,12,6,177,3,-1,0,3,0
26,1,2,0,0,3342,1,0,2,4,6,329,4,-1,0,3,0
36,1,1,0,0,1925,1,0,0,20,0,904,2,-1,0,3,1
42,1,1,1,0,3068,1,1,0,11,8,429,2,-1,0,3,0
