Aobject_id,lastmodified_time_range,Aexception_type,f0410_name,lastoccur_region,lastappeared_id,lat,username,M,Bexception_type,company,machine_type,machine_mark,isCivilPlane,gjdq,importancelecel,course,category,name0410en,name0410,lastmodified_time,isCivilPlanePossibility,long,name0410Possibility,Bobject_id,lastmodified_date,id,importancelevel
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.266445,"\"null\"",1.6034519E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",77.205734,异常,"\"null\"","\"null\"",11:18:31,0,123.81528,0,21,2020-10-23,12515,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.983221,"\"null\"",1.60345101E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",80.77107,未知,"\"null\"","\"null\"",11:02:31,0,122.48462,0,22,2020-10-23,12516,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.121536,"\"null\"",1.60345114E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",108.09339,异常,"\"null\"","\"null\"",11:06:31,0,122.37598,0,24,2020-10-23,12518,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.881603,"\"null\"",1.60345101E9,"位置异常,盘旋异常","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",129.68967,异常,"\"null\"","\"null\"",11:04:31,0,123.024574,0,32,2020-10-23,12526,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.838125,"\"null\"",1.60345037E9,"位置异常,盘旋异常","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",145.28275,异常,"\"null\"","\"null\"",10:52:31,0,122.60759,0,55,2020-10-23,12549,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.613468,"\"null\"",1.60345216E9,"位置异常,盘旋异常","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",75.06343,异常,"\"null\"","\"null\"",11:22:31,0,122.346436,0,64,2020-10-23,12558,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.381647,"\"null\"",1.60345216E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",89.31862,异常,"\"null\"","\"null\"",11:22:31,0,122.34822,0,84,2020-10-23,12578,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.37462,"\"null\"",1.60345216E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",45.973907,异常,"\"null\"","\"null\"",11:22:31,0,124.95877,0,86,2020-10-23,12580,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.935543,"\"null\"",1.60345178E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",318.5343,未知,"\"null\"","\"null\"",11:16:31,0,122.39294,0,95,2020-10-23,12589,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.388012,"\"null\"",1.6034519E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",237.9838,异常,"\"null\"","\"null\"",11:17:31,0,125.62539,0,0,2020-10-23,12494,
